uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,88,88,16,16,-72
1,80,128,112,160,32
1,128,112,104,88,-24
1,111,97,175,161,64
1,112,120,112,120,0
1,128,105,104,81,-24
1,96,119,97,120,1
1,64,96,104,136,40
1,112,120,88,96,-24
1,104,48,168,112,64
1,104,96,64,56,-40
1,95,64,135,104,40
1,64,48,104,88,40
1,85,56,85,56,0
1,120,24,168,72,48
2,88,54,146,112,58
2,104,64,160,120,56
2,112,72,128,88,16
2,103,56,215,168,112
2,136,40,136,40,0
2,104,72,136,104,32
2,88,64,152,128,64
2,112,64,152,104,40
2,80,56,120,96,40
2,120,56,152,88,32
2,96,64,144,112,48
2,80,56,112,88,32
2,96,72,112,88,16
2,112,56,112,56,0
3,128,64,128,64,0
3,112,150,130,168,18
3,56,88,80,112,24
3,87,88,88,89,1
3,120,96,120,96,0
3,56,128,56,128,0
3,120,96,176,152,56
3,88,112,88,112,0
3,64,144,88,168,24
3,104,136,104,136,0
3,120,120,120,120,0
4,64,72,328,336,264
4,56,64,128,136,72
5,111,55,112,56,1
5,176,136,192,152,16
5,152,136,320,304,168
5,128,120,128,120,0
5,112,96,128,112,16
5,130,104,106,80,-24
5,128,79,128,79,0
5,112,119,113,120,1
5,152,120,168,136,16
5,72,112,144,184,72
5,128,160,912,944,784
5,128,112,96,80,-32
6,121,80,176,135,55
6,104,80,144,120,40
6,104,72,160,128,56
6,120,72,168,120,48
6,88,65,264,241,176
7,143,64,375,296,232
7,72,96,112,136,40
7,160,64,120,24,-40
7,168,103,217,152,49
7,88,80,248,240,160
7,193,144,128,79,-65
7,184,79,217,112,33
8,96,88,160,152,64
8,104,104,104,104,0
8,112,96,144,128,32
8,96,88,120,112,24
8,64,120,152,208,88
8,88,104,152,168,64
8,80,112,120,152,40
8,80,104,128,152,48
8,88,88,136,136,48
8,96,88,120,112,24
9,88,72,120,104,32
9,56,56,408,408,352
9,88,80,200,192,112
10,120,112,120,112,0
10,88,112,144,168,56
10,120,112,120,112,0
10,96,136,96,136,0
10,104,128,144,168,40
10,80,144,288,352,208
10,120,104,88,72,-32
10,128,176,200,248,72
11,79,72,80,73,1
11,80,79,113,112,33
11,88,88,88,88,0
11,64,72,96,104,32
11,96,72,160,136,64
12,68,72,104,108,36
12,128,64,192,128,64
12,80,80,120,120,40
12,55,71,56,72,1
12,65,95,65,95,0
12,104,95,89,80,-15
12,64,72,112,120,48
12,96,64,144,112,48
12,64,96,128,160,64
12,88,88,120,120,32
12,81,63,81,63,0
12,88,88,176,176,88
12,80,72,104,96,24
12,73,87,74,88,1
12,80,88,104,112,24
13,103,64,1063,1024,960
13,95,72,151,128,56
13,71,72,104,105,33
13,88,80,280,272,192
13,72,72,168,168,96
13,112,79,161,128,49
13,128,88,128,88,0
13,95,96,127,128,32
13,144,95,89,40,-55
13,144,104,144,104,0
13,105,87,105,87,0
13,121,96,121,96,0
14,96,72,96,72,0
14,88,80,72,64,-16
14,103,104,71,72,-32
14,81,95,57,71,-24
14,72,80,104,112,32
14,80,48,56,24,-24
14,80,88,120,128,40
14,63,64,88,89,25
14,104,64,120,80,16
14,80,70,114,104,34
14,104,56,104,56,0
14,104,72,448,416,344
14,79,72,95,88,16
15,80,64,96,80,16
15,96,72,136,112,40
15,128,80,184,136,56
15,104,72,120,88,16
15,151,120,31,0,-120
15,88,80,120,112,32
15,96,88,160,152,64
15,72,88,136,152,64
15,72,104,112,144,40
15,80,97,80,97,0
15,80,96,152,168,72
15,80,80,104,104,24
15,104,80,152,128,48
15,88,80,80,72,-8
15,88,96,104,112,16
15,72,96,40,64,-32
15,96,112,56,72,-40
15,72,80,120,128,48
15,120,120,376,376,256
16,88,80,88,80,0
16,87,56,111,80,24
16,79,88,111,120,32
16,88,80,88,80,0
16,56,56,152,152,96
16,72,128,128,184,56
16,88,88,104,104,16
16,120,79,161,120,41
16,104,64,136,96,32
16,128,88,216,176,88
17,136,168,440,472,304
17,104,184,432,512,328
17,119,88,119,88,0
17,144,80,144,80,0
17,64,177,176,289,112
17,96,87,145,136,49
17,71,208,367,504,296
17,127,96,183,152,56
17,104,79,153,128,49
17,136,136,112,112,-24
17,128,88,280,240,152
17,128,104,160,136,32
17,128,129,144,145,16
18,64,80,64,80,0
18,72,64,144,136,72
18,72,80,64,72,-8
18,72,80,40,48,-32
18,72,96,96,120,24
18,88,89,88,89,0
18,72,80,48,56,-24
18,80,88,152,160,72
18,80,88,104,112,24
18,88,72,88,72,0
18,72,88,72,88,0
18,80,88,80,88,0
19,96,120,96,120,0
19,104,120,104,120,0
19,136,120,296,280,160
19,72,72,72,72,0
19,103,97,135,129,32
19,71,88,103,120,32
19,72,112,320,360,248
19,56,73,96,113,40
19,80,88,104,112,24
20,128,56,128,56,0
20,79,103,113,137,34
20,103,103,168,168,65
20,120,104,136,120,16
20,96,112,144,160,48
20,136,64,168,96,32
20,96,96,136,136,40
20,104,103,169,168,65
20,96,120,112,136,16
20,104,87,104,87,0
20,96,88,96,88,0
20,72,72,120,120,48
21,104,64,96,56,-8
21,120,64,120,64,0
21,136,94,136,94,0
21,120,104,96,80,-24
21,104,144,144,184,40
21,96,88,112,104,16
21,96,64,128,96,32
21,88,96,368,376,280
21,96,72,96,72,0
21,128,64,128,64,0
21,96,88,112,104,16
21,80,104,128,152,48
21,112,104,96,88,-16
21,87,113,87,113,0
21,96,104,96,104,0
21,104,112,119,127,15
21,95,79,120,104,25
21,72,120,72,120,0
21,96,120,136,160,40
22,88,80,104,96,16
22,89,79,89,79,0
22,56,96,32,72,-24
22,111,112,127,128,16
22,80,88,80,88,0
22,120,95,120,95,0
22,96,80,64,48,-32
22,55,88,127,160,72
22,121,95,121,95,0
22,112,79,113,80,1
22,120,56,96,32,-24
22,96,64,96,64,0
22,96,79,72,55,-24
22,72,88,112,128,40
23,88,80,176,168,88
23,120,104,168,152,48
23,120,103,121,104,1
23,88,136,145,193,57
23,136,144,152,160,16
24,104,72,480,448,376
24,144,48,144,48,0
24,144,56,144,56,0
24,120,56,120,56,0
24,128,87,192,151,64
24,112,113,336,337,224
24,112,64,152,104,40
24,120,64,120,64,0
24,120,72,120,72,0
24,104,48,104,48,0
24,136,71,137,72,1
24,128,64,144,80,16
25,80,104,208,232,128
25,64,127,64,127,0
25,88,56,192,160,104
26,96,120,336,360,240
26,80,88,257,265,177
26,136,96,152,112,16
26,80,88,120,128,40
26,88,120,112,144,24
26,112,144,112,144,0
26,96,80,128,112,32
26,112,80,169,137,57
26,88,112,88,112,0
26,120,72,144,96,24
26,144,64,600,520,456
