uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,128,120,128,120,0
1,128,96,104,72,-24
1,120,112,152,144,32
1,119,104,119,104,0
1,120,112,104,96,-16
1,144,88,72,16,-72
1,136,72,64,0,-72
1,120,112,184,176,64
1,136,120,168,152,32
1,80,112,200,232,120
1,120,144,88,112,-32
1,104,120,80,96,-24
1,120,120,72,72,-48
1,112,135,57,80,-55
1,79,90,79,90,0
2,56,72,152,168,96
2,56,80,136,160,80
2,63,105,111,153,48
2,56,96,184,224,128
2,72,80,352,360,280
2,63,104,119,160,56
2,48,88,184,224,136
2,56,128,160,232,104
2,49,112,88,151,39
2,48,112,88,152,40
2,56,88,120,152,64
2,56,72,104,120,48
3,104,104,80,80,-24
3,104,80,128,104,24
3,136,72,64,0,-72
3,104,56,104,56,0
3,120,80,56,16,-64
3,73,72,104,103,31
3,128,96,72,40,-56
3,111,72,87,48,-24
3,80,80,81,81,1
3,80,88,80,88,0
3,120,88,120,88,0
4,64,80,104,120,40
4,80,96,216,232,136
4,56,72,160,176,104
5,143,144,175,176,32
5,128,159,73,104,-55
5,112,168,336,392,224
5,104,184,304,384,200
5,88,120,216,248,128
5,128,159,217,248,89
5,120,152,96,128,-24
6,88,120,88,120,0
6,72,122,112,162,40
6,101,106,101,106,0
6,80,136,392,448,312
6,80,88,152,160,72
6,56,96,184,224,128
6,72,104,96,128,24
6,72,88,144,160,72
6,64,104,104,144,40
7,86,64,86,64,0
7,88,152,120,184,32
7,104,104,80,80,-24
7,72,64,160,152,88
7,96,152,96,152,0
7,136,176,112,152,-24
7,88,176,72,160,-16
7,111,152,111,152,0
7,88,152,88,152,0
7,91,149,91,149,0
8,104,119,105,120,1
8,104,88,104,88,0
9,64,88,120,144,56
9,71,112,48,89,-23
9,56,120,96,160,40
10,96,96,120,120,24
10,104,112,104,112,0
10,152,120,216,184,64
10,152,88,112,48,-40
10,128,80,192,144,64
10,96,80,104,88,8
10,111,152,111,152,0
10,112,80,80,48,-32
10,151,120,79,48,-72
10,127,80,63,16,-64
11,72,88,112,128,40
11,72,72,128,128,56
11,88,72,72,56,-16
12,104,48,80,24,-24
12,71,64,119,112,48
12,113,64,128,79,15
12,79,73,95,89,16
12,96,64,96,64,0
12,95,103,96,104,1
12,88,96,88,96,0
13,64,97,128,161,64
13,80,64,80,64,0
13,80,96,192,208,112
13,88,104,472,488,384
14,80,64,120,104,40
14,72,96,104,128,32
14,72,72,96,96,24
14,104,80,72,48,-32
14,80,96,56,72,-24
14,80,72,120,112,40
14,72,88,136,152,64
14,87,136,111,160,24
14,64,96,32,64,-32
14,64,80,88,104,24
14,56,65,104,113,48
15,103,119,112,128,9
15,87,95,88,96,1
15,72,96,120,144,48
15,88,80,88,80,0
15,104,112,104,112,0
15,96,128,280,312,184
15,72,81,112,121,40
15,104,96,104,96,0
15,72,104,112,144,40
16,112,72,136,96,24
16,111,79,112,80,1
16,104,96,80,72,-24
16,96,97,80,81,-16
17,97,79,97,79,0
17,152,168,176,192,24
17,80,104,88,112,8
17,159,160,144,145,-15
17,168,144,208,184,40
17,96,127,97,128,1
17,169,175,169,175,0
17,200,152,256,208,56
17,79,160,103,184,24
17,88,144,119,175,31
17,88,80,120,112,32
17,168,144,248,224,80
18,72,80,104,112,32
18,80,77,120,117,40
18,80,80,152,152,72
18,80,64,113,97,33
18,72,80,72,80,0
18,80,72,112,104,32
18,72,64,72,64,0
18,72,88,152,168,80
18,80,80,96,96,16
18,72,80,104,112,32
18,88,72,104,88,16
18,80,72,120,112,40
18,96,81,120,105,24
18,72,88,96,112,24
18,104,88,152,136,48
18,64,64,88,88,24
19,88,80,104,96,16
19,72,72,80,80,8
19,96,95,121,120,25
19,152,160,120,128,-32
19,71,88,55,72,-16
20,104,96,152,144,48
20,56,104,96,144,40
20,75,63,148,136,73
20,96,99,160,163,64
20,80,95,145,160,65
20,72,104,120,152,48
20,112,112,192,192,80
20,88,120,104,136,16
20,88,128,144,184,56
20,96,128,144,176,48
20,88,72,128,112,40
20,87,136,119,168,32
20,88,103,345,360,257
20,87,80,159,152,72
20,104,95,105,96,1
20,80,80,120,120,40
20,88,112,88,112,0
21,88,88,176,176,88
21,88,112,112,136,24
21,88,88,144,144,56
21,80,120,104,144,24
21,96,104,416,424,320
21,88,96,192,200,104
21,104,80,104,80,0
21,80,104,56,80,-24
21,88,47,72,31,-16
21,73,136,73,136,0
21,24,48,64,88,40
21,63,119,48,104,-15
21,80,88,128,136,48
21,96,112,96,112,0
21,88,72,88,72,0
21,72,96,72,96,0
21,112,104,112,104,0
22,80,96,81,97,1
22,72,56,72,56,0
22,79,71,80,72,1
22,87,81,63,57,-24
22,88,128,40,80,-48
22,80,80,81,81,1
22,96,104,96,104,0
22,112,88,112,88,0
22,88,104,88,104,0
22,95,152,112,169,17
22,112,104,72,64,-40
22,79,104,47,72,-32
22,64,96,48,80,-16
22,72,112,48,88,-24
22,80,64,80,64,0
22,64,56,48,40,-16
23,120,55,121,56,1
23,120,72,72,24,-48
23,80,128,40,88,-40
23,136,40,120,24,-16
23,104,56,136,88,32
24,72,128,136,192,64
24,88,128,136,176,48
24,64,96,136,168,72
24,72,121,152,201,80
24,48,136,120,208,72
25,104,80,24,0,-80
25,88,88,88,88,0
25,64,120,104,160,40
26,81,128,129,176,48
26,89,79,89,79,0
26,104,68,104,68,0
26,79,103,152,176,73
26,104,96,104,96,0
26,72,120,72,120,0
26,96,120,96,120,0
26,88,96,136,144,48
26,72,112,104,144,32
26,96,120,80,104,-16
27,79,119,304,344,225
28,71,128,55,112,-16
28,103,104,71,72,-32
28,64,111,64,111,0
28,72,144,32,104,-40
28,80,128,56,104,-24
28,112,152,152,192,40
28,80,119,81,120,1
28,72,96,72,96,0
28,88,95,89,96,1
29,120,168,160,208,40
29,88,144,104,160,16
29,89,184,168,263,79
30,80,64,264,248,184
30,72,64,168,160,96
30,72,72,224,224,152
30,64,72,128,136,64
30,80,64,296,280,216
30,56,64,168,176,112
30,56,72,136,152,80
30,72,120,160,208,88
