uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,96,120,192,216,96
1,136,112,88,64,-48
1,88,64,160,136,72
1,120,39,257,176,137
1,111,88,63,40,-48
1,103,120,56,73,-47
2,72,80,176,184,104
2,63,72,199,208,136
2,64,72,200,208,136
2,88,29,227,168,139
2,72,56,192,176,120
2,64,104,184,224,120
2,96,128,200,232,104
2,105,64,224,183,119
2,120,97,328,305,208
2,112,80,256,224,144
2,80,96,208,224,128
2,96,80,224,208,128
2,96,104,216,224,120
2,72,96,200,224,128
2,80,112,208,240,128
2,80,56,224,200,144
2,96,56,224,184,128
2,88,88,280,280,192
2,80,80,192,192,112
2,64,104,192,232,128
2,72,104,200,232,128
2,96,48,232,184,136
2,64,64,208,208,144
2,104,120,224,240,120
2,88,104,208,224,120
2,80,96,200,216,120
2,104,88,256,240,152
2,72,104,216,248,144
2,80,80,216,216,136
2,88,64,216,192,128
2,104,128,496,520,392
3,128,80,72,24,-56
3,128,112,88,72,-40
3,159,103,96,40,-63
3,136,120,72,56,-64
3,176,144,72,40,-104
3,168,120,80,32,-88
3,160,103,81,24,-79
3,97,40,344,287,247
3,120,175,97,152,-23
4,56,72,184,200,128
4,79,72,207,200,128
4,64,72,192,200,128
4,56,40,240,224,184
4,64,64,192,192,128
4,64,72,176,184,112
4,72,80,199,207,127
4,71,88,207,224,136
4,24,71,153,200,129
4,64,40,216,192,152
5,136,176,216,256,80
5,80,168,192,280,112
5,128,161,336,369,208
5,120,56,215,151,95
5,96,56,208,168,112
5,128,128,208,208,80
5,113,136,264,287,151
5,88,145,192,249,104
5,128,176,224,272,96
5,128,137,336,345,208
5,120,120,208,208,88
5,134,135,334,335,200
5,72,96,248,272,176
6,67,88,211,232,144
6,88,114,233,259,145
6,48,72,184,208,136
6,65,111,241,287,176
7,144,104,320,280,176
7,79,112,151,184,72
7,192,216,745,769,553
7,96,176,192,272,96
8,160,224,136,200,-24
8,120,103,265,248,145
8,88,137,72,121,-16
9,88,32,184,128,96
9,72,64,200,192,128
9,72,80,184,192,112
9,72,48,200,176,128
9,119,64,255,200,136
9,48,72,152,176,104
9,56,48,160,152,104
9,64,80,176,192,112
9,64,80,184,200,120
9,64,56,200,192,136
9,88,48,200,160,112
9,88,64,232,208,144
9,72,72,192,192,120
9,72,72,736,736,664
9,88,88,328,328,240
9,64,87,185,208,121
9,72,72,264,264,192
10,91,56,507,472,416
10,79,120,215,256,136
10,96,160,248,312,152
10,104,160,168,224,64
11,80,64,200,184,120
11,64,88,200,224,136
11,80,40,272,232,192
11,72,72,200,200,128
11,96,80,232,216,136
11,64,80,176,192,112
11,56,64,224,232,168
12,80,64,160,144,80
12,70,88,150,168,80
12,66,71,168,173,102
12,63,60,160,157,97
12,56,40,152,136,96
12,72,71,209,208,137
12,96,56,760,720,664
12,88,56,192,160,104
12,104,56,184,136,80
12,96,48,200,152,104
12,88,80,184,176,96
12,64,80,144,160,80
13,112,128,64,80,-48
13,104,64,192,152,88
13,71,88,167,184,96
13,72,96,160,184,88
13,96,120,176,200,80
13,96,136,200,240,104
14,72,88,160,176,88
14,80,56,184,160,104
14,72,64,376,368,304
14,72,96,168,192,96
15,56,56,176,176,120
16,72,104,200,232,128
16,96,88,392,384,296
16,144,160,144,160,0
16,72,64,184,176,112
16,71,40,183,152,112
16,48,88,336,376,288
16,104,120,240,256,136
16,64,136,272,344,208
16,72,56,176,160,104
16,58,80,168,190,110
17,152,88,296,232,144
17,72,104,184,216,112
17,104,144,200,240,96
17,136,184,184,232,48
17,120,96,336,312,216
17,72,103,417,448,345
17,136,128,192,184,56
18,103,56,215,168,112
18,64,48,184,168,120
18,64,88,176,200,112
18,72,48,384,360,312
18,72,88,184,200,112
18,56,56,176,176,120
19,112,79,56,23,-56
19,63,32,159,128,96
19,96,95,1,0,-95
19,72,72,168,168,96
19,56,56,160,160,104
19,79,48,192,161,113
20,152,112,128,88,-24
20,176,168,176,168,0
20,144,104,112,72,-32
21,64,80,208,224,144
21,96,103,249,256,153
21,96,139,192,235,96
21,103,137,215,249,112
21,64,96,208,240,144
21,71,96,191,216,120
21,80,120,160,200,80
21,65,72,144,151,79
21,64,120,201,257,137
21,80,121,160,201,80
21,80,112,208,240,128
21,71,103,256,288,185
21,80,144,200,264,120
21,80,96,184,200,104
22,112,88,64,40,-48
22,80,64,184,168,104
22,112,71,112,71,0
22,117,104,93,80,-24
22,127,120,87,80,-40
22,104,128,80,104,-24
22,127,144,16,33,-111
22,79,151,80,152,1
22,152,112,88,48,-64
23,88,112,168,192,80
23,104,88,168,152,64
23,80,64,216,200,136
23,80,72,200,192,120
23,64,80,193,209,129
23,72,48,168,144,96
23,64,80,176,192,112
23,88,64,208,184,120
23,72,88,192,208,120
23,112,128,240,256,128
23,80,120,176,216,96
23,216,103,216,103,0
23,137,96,745,704,608
23,112,158,394,440,282
23,104,168,232,296,128
23,48,64,336,352,288
23,128,136,256,264,128
24,88,128,176,216,88
24,96,144,296,344,200
24,80,137,184,241,104
24,80,135,185,240,105
24,96,104,264,272,168
24,96,80,232,216,136
25,88,80,264,256,176
25,97,80,272,255,175
25,88,96,200,208,112
25,88,88,272,272,184
25,120,88,272,240,152
25,89,73,216,200,127
26,88,128,296,336,208
26,96,199,225,328,129
26,88,64,208,184,120
26,87,136,383,432,296
26,96,232,217,353,121
26,120,96,264,240,144
26,81,232,201,352,120
26,136,88,336,288,200
26,128,112,288,272,160
26,88,80,184,176,96
26,104,64,240,200,136
26,96,104,224,232,128
26,105,120,232,247,127
27,112,80,224,192,112
27,80,88,184,192,104
27,71,119,304,352,233
27,72,73,472,473,400
27,88,56,264,232,176
27,72,88,192,208,120
27,96,88,336,328,240
27,96,104,208,216,112
27,80,112,200,232,120
27,73,88,224,239,151
27,40,32,600,592,560
27,80,120,184,224,104
27,96,72,216,192,120
27,80,32,232,184,152
27,144,112,296,264,152
27,88,72,200,184,112
27,104,88,224,208,120
27,79,80,151,152,72
27,80,127,329,376,249
27,97,144,209,256,112
27,105,119,192,206,87
28,58,91,141,174,83
28,68,120,132,184,64
28,80,63,280,263,200
28,72,72,384,384,312
28,72,73,232,233,160
28,56,80,152,176,96
28,80,72,280,272,200
28,88,72,344,328,256
28,64,56,225,217,161
28,64,72,144,152,80
29,120,160,192,232,72
29,104,121,224,241,120
29,119,144,223,248,104
29,136,75,253,192,117
29,128,72,272,216,144
29,120,200,288,368,168
29,120,56,264,200,144
29,136,151,256,271,120
29,128,136,248,256,120
29,136,168,272,304,136
29,104,72,232,200,128
29,96,128,256,288,160
29,121,144,185,208,64
29,128,40,472,384,344
30,64,56,416,408,352
30,64,64,192,192,128
30,64,56,264,256,200
