uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,104,120,80,96,-24
1,104,128,105,129,1
1,112,88,96,72,-16
1,97,119,97,119,0
1,135,130,79,74,-56
1,145,79,145,79,0
1,144,64,144,64,0
1,104,56,64,16,-40
1,97,111,97,111,0
1,98,87,58,47,-40
1,88,112,88,112,0
2,81,55,81,55,0
3,152,96,112,56,-40
3,160,32,176,48,16
3,136,120,96,80,-40
3,104,112,64,72,-40
3,80,80,48,48,-32
3,103,71,72,40,-31
3,136,96,96,56,-40
3,135,80,87,32,-48
3,96,64,56,24,-40
3,96,96,48,48,-48
3,112,96,88,72,-24
4,72,64,231,223,159
5,137,136,104,103,-33
5,112,128,96,112,-16
5,96,120,96,120,0
5,104,112,104,112,0
5,120,128,504,512,384
5,111,120,136,145,25
5,88,64,112,88,24
5,120,96,144,120,24
5,112,136,96,120,-16
5,119,112,119,112,0
5,136,88,136,88,0
5,120,72,120,72,0
5,120,128,216,224,96
6,96,72,96,72,0
6,128,128,96,96,-32
6,120,104,88,72,-32
6,136,96,104,64,-32
7,166,114,96,44,-70
7,159,96,79,16,-80
7,152,96,120,64,-32
7,136,88,80,32,-56
7,216,112,104,0,-112
8,120,72,104,56,-16
8,104,64,104,64,0
8,152,88,128,64,-24
7,151,104,95,48,-56
7,152,104,96,48,-56
7,152,137,88,73,-64
8,144,112,112,80,-32
8,128,120,96,88,-32
8,136,71,153,88,17
8,112,96,80,64,-32
9,88,64,128,104,40
10,176,136,80,40,-96
10,176,120,80,24,-96
10,168,192,144,168,-24
10,152,128,768,744,616
10,160,175,97,112,-63
10,176,136,88,48,-88
10,48,95,193,240,145
10,144,113,71,40,-73
10,143,120,103,80,-40
10,143,145,87,89,-56
10,199,180,79,60,-120
10,144,128,80,64,-64
10,152,176,64,88,-88
10,152,144,96,88,-56
10,176,176,64,64,-112
10,152,136,88,72,-64
10,167,160,88,81,-79
10,151,142,97,88,-54
10,175,151,112,88,-63
10,168,136,104,72,-64
10,144,192,80,128,-64
11,112,88,72,48,-40
11,151,80,111,40,-40
11,104,88,72,56,-32
11,152,80,112,40,-40
11,120,80,96,56,-24
11,151,80,103,32,-48
12,64,56,96,88,32
12,111,47,112,48,1
12,80,80,120,120,40
12,80,104,80,104,0
12,87,96,87,96,0
12,97,103,97,103,0
12,120,104,96,80,-24
12,104,64,80,40,-24
12,64,80,96,112,32
12,112,88,200,176,88
12,88,88,152,152,64
12,64,80,136,152,72
13,159,64,119,24,-40
13,144,72,96,24,-48
13,136,89,88,41,-48
13,136,72,96,32,-40
13,104,87,49,32,-55
14,88,80,64,56,-24
14,64,64,40,40,-24
14,120,96,80,56,-40
14,104,72,72,40,-32
14,136,72,96,32,-40
14,96,96,56,56,-40
14,88,72,64,48,-24
14,88,104,56,72,-32
14,96,88,72,64,-24
14,112,96,64,48,-48
14,144,72,120,48,-24
14,88,104,40,56,-48
14,55,96,23,64,-32
14,88,47,72,31,-16
14,104,104,64,64,-40
14,96,72,72,48,-24
15,88,80,56,48,-32
15,112,80,56,24,-56
15,95,72,71,48,-24
15,112,56,72,16,-40
15,96,80,48,32,-48
15,128,72,96,40,-32
15,104,40,88,24,-16
15,40,72,1296,1328,1256
15,136,80,112,56,-24
15,104,81,64,41,-40
15,96,72,64,40,-32
15,48,79,1,32,-47
15,104,71,105,72,1
15,120,72,88,40,-32
15,96,72,56,32,-40
16,136,72,96,32,-40
16,168,80,89,1,-79
17,144,136,104,96,-40
17,121,88,72,39,-49
17,176,144,136,104,-40
17,160,144,120,104,-40
17,160,136,128,104,-32
17,176,121,128,73,-48
17,200,103,152,55,-48
17,200,144,112,56,-88
17,167,120,103,56,-64
17,200,144,160,104,-40
17,192,112,112,32,-80
17,192,104,88,0,-104
17,168,128,96,56,-72
17,232,152,144,64,-88
17,208,152,128,72,-80
18,104,88,64,48,-40
18,112,72,72,32,-40
18,105,72,73,40,-32
18,72,64,40,32,-32
18,96,72,64,40,-32
18,96,72,48,24,-48
18,183,96,135,48,-48
18,160,112,128,80,-32
18,160,111,112,63,-48
18,80,80,40,40,-40
18,160,96,104,40,-56
18,91,64,48,21,-43
18,97,64,72,39,-25
19,112,64,88,40,-24
19,88,96,88,96,0
19,80,96,64,80,-16
19,128,72,80,24,-48
19,104,88,72,56,-32
19,112,87,80,55,-32
19,120,96,96,72,-24
19,127,103,64,40,-63
19,104,112,72,80,-32
19,112,88,88,64,-24
19,104,104,80,80,-24
19,88,128,88,128,0
19,80,104,56,80,-24
19,104,88,72,56,-32
19,104,112,72,80,-32
19,127,128,95,96,-32
20,161,128,88,55,-73
20,147,96,91,40,-56
20,136,96,120,80,-16
20,139,96,80,37,-59
20,160,72,112,24,-48
20,136,88,72,24,-64
20,164,80,127,43,-37
20,120,80,88,48,-32
20,168,104,104,40,-64
20,184,104,112,32,-72
20,137,112,104,79,-33
20,127,88,71,32,-56
20,152,96,112,56,-40
20,192,137,136,81,-56
20,128,120,80,72,-48
20,120,88,80,48,-40
20,168,85,120,37,-48
20,112,96,64,48,-48
20,112,88,112,88,0
20,104,96,232,224,128
20,232,128,104,0,-128
20,208,144,120,56,-88
20,200,88,200,88,0
20,192,112,152,72,-40
20,216,112,128,24,-88
20,208,128,112,32,-96
20,199,199,64,64,-135
20,152,88,96,32,-56
20,195,114,83,2,-112
20,184,105,136,57,-48
21,86,85,86,85,0
21,144,112,120,88,-24
21,112,80,80,48,-32
21,128,112,88,72,-40
21,104,72,72,40,-32
22,63,64,31,32,-32
22,104,79,81,56,-23
22,96,80,72,56,-24
22,88,64,64,40,-24
22,120,136,88,104,-32
22,104,128,64,88,-40
22,112,96,64,48,-48
22,112,95,64,47,-48
22,64,112,40,88,-24
22,112,89,88,65,-24
22,72,80,32,40,-40
22,106,64,72,30,-34
22,160,168,120,128,-40
22,96,104,72,80,-24
22,80,96,64,80,-16
22,111,87,88,64,-23
22,96,88,72,64,-24
22,96,88,56,48,-40
22,96,96,72,72,-24
22,88,88,72,72,-16
22,96,72,80,56,-16
22,88,160,64,136,-24
