uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,136,96,72,32,-64
1,114,96,170,152,56
1,176,112,216,152,40
1,191,120,167,96,-24
1,111,136,136,161,25
1,152,111,80,39,-72
1,111,128,199,216,88
1,120,88,121,89,1
1,135,88,255,208,120
1,128,136,200,208,72
1,112,95,568,551,456
1,144,72,184,112,40
2,104,88,424,408,320
2,96,80,176,160,80
2,72,112,144,184,72
2,88,96,168,176,80
2,80,72,168,160,88
2,88,88,184,184,96
3,152,80,72,0,-80
3,184,104,80,0,-104
3,144,64,80,0,-64
3,112,72,64,24,-48
3,104,128,64,88,-40
3,96,112,232,248,136
3,120,56,80,16,-40
3,126,72,86,32,-40
3,128,56,128,56,0
3,119,129,87,97,-32
3,144,88,88,32,-56
3,128,72,56,0,-72
3,104,104,64,64,-40
3,144,112,56,24,-88
3,96,64,64,32,-32
3,104,114,48,58,-56
3,96,112,96,112,0
3,120,88,56,24,-64
3,104,80,48,24,-56
3,93,136,77,120,-16
3,136,64,208,136,72
3,105,120,24,39,-81
4,72,56,72,56,0
4,65,64,160,159,95
4,56,64,96,104,40
4,47,40,135,128,88
4,56,72,96,112,40
5,152,136,144,128,-8
5,152,104,192,144,40
5,151,80,1119,1048,968
5,136,144,617,625,481
5,136,112,248,224,112
5,144,104,255,215,111
5,135,121,119,105,-16
5,168,144,152,128,-16
5,112,136,88,112,-24
5,128,104,88,64,-40
6,72,56,344,328,272
6,48,112,224,288,176
6,80,120,216,256,136
6,80,134,162,216,82
6,64,120,152,208,88
7,88,112,152,176,64
7,136,88,248,200,112
7,112,104,184,176,72
7,184,88,729,633,545
7,168,104,200,136,32
7,144,136,216,208,72
7,135,136,191,192,56
7,208,152,72,16,-136
7,200,160,144,104,-56
7,129,48,272,191,143
7,192,136,1264,1208,1072
7,176,72,192,88,16
7,200,96,128,24,-72
7,152,96,184,128,32
7,152,143,137,128,-15
8,120,112,80,72,-40
7,176,136,1264,1224,1088
7,136,127,137,128,1
7,120,80,192,152,72
8,120,129,64,73,-56
8,152,160,112,120,-40
8,96,96,64,64,-32
8,96,96,72,72,-24
8,120,80,152,112,32
8,96,152,72,128,-24
8,120,88,96,64,-24
9,56,64,192,200,136
10,184,112,152,80,-32
10,152,128,120,96,-32
10,120,81,527,488,407
11,96,64,96,64,0
11,95,72,71,48,-24
11,88,64,88,64,0
11,80,104,160,184,80
11,56,56,104,104,48
11,64,72,136,144,72
11,96,64,96,64,0
11,71,73,166,168,95
11,72,80,144,152,72
12,56,88,120,152,64
12,47,87,104,144,57
12,80,64,168,152,88
12,72,80,160,168,88
12,56,96,104,144,48
12,48,56,128,136,80
12,63,72,160,169,97
12,72,80,152,160,80
12,72,88,128,144,56
12,64,88,136,160,72
12,24,72,129,177,105
12,40,88,104,152,64
13,160,80,176,96,16
13,120,88,168,136,48
13,104,104,160,160,56
13,104,88,88,72,-16
13,160,96,64,0,-96
13,80,104,153,177,73
13,161,80,128,47,-33
13,120,64,80,24,-40
13,184,80,105,1,-79
13,88,80,168,160,80
13,88,72,160,144,72
13,167,80,88,1,-79
13,105,112,217,224,112
13,104,72,144,112,40
14,104,80,56,32,-48
14,104,112,72,80,-32
14,72,80,136,144,64
14,120,96,80,56,-40
14,144,49,144,49,0
14,144,96,80,32,-64
14,136,32,104,0,-32
14,128,72,240,184,112
14,167,96,71,0,-96
14,-593,-600,240,233,833
14,144,104,72,32,-72
15,88,88,136,136,48
15,64,72,104,112,40
15,88,48,160,120,72
15,80,64,208,192,128
15,88,88,128,128,40
15,112,80,184,152,72
15,104,88,128,112,24
